name,amount
ŻURAWSKA,6700
GODLEWSKA,6691
AUGUSTYNIAK,6689
RAK,6687
ZAWADA,6664
CZYŻ,6659
KOMOROWSKA,6653
GROCHOWSKA,6553
SKRZYPCZAK,6544
GRUSZKA,6512
GÓRKA,6511
KUŚ,6489
RÓŻAŃSKA,6482
SZCZĘSNA,6451
PRZYBYŁA,6446
WINIARSKA,6419
CYBULSKA,6402
KRAWIEC,6369
PANEK,6360
DROZD,6356
PTAK,6340
KULIK,6313
LEŚNIEWSKA,6307
KONOPKA,6287
KRZYŻANOWSKA,6280
MIKOŁAJCZAK,6265
GIL,6251
CICHOŃ,6242
SZCZEPANIK,6190
SŁOWIK,6189
CICHOCKA,6169
ZARZYCKA,6169
SIWEK,6167
MIELCZAREK,6159
ZAREMBA,6143
GRACZYK,6104
STRZELECKA,6093
TOKARSKA,6083
SZYMCZYK,6064
MŁYNARCZYK,6039
BARTKOWIAK,6013
KACZYŃSKA,6007
MAĆKOWIAK,6004
KŁOS,5996
STAŃCZYK,5977
BUCZEK,5972
NIEWIADOMSKA,5948
JANUS,5931
GRZYB,5925
BIERNAT,5920
SZCZYGIEŁ,5913
SZOSTAK,5913
KOSTRZEWA,5896
FILIPIAK,5895
SKOWRON,5892
WĘGRZYN,5872
JANIAK,5845
GÓRNA,5841
JUREK,5830
KUCHARCZYK,5819
RAKOWSKA,5800
KALETA,5794
SIENKIEWICZ,5793
BOGUSZ,5792
GĄSIOR,5782
GAWRON,5759
CIEŚLA,5745
KUBIK,5740
KSIĄŻEK,5727
BAGIŃSKA,5716
ANTCZAK,5706
BANASIAK,5705
RÓŻYCKA,5679
BARTCZAK,5672
ŻEBROWSKA,5658
GAWLIK,5652
KRÓLIKOWSKA,5650
TRZCIŃSKA,5601
KULA,5600
ZARĘBA,5599
PAŁKA,5547
HAJDUK,5536
MIKULSKA,5525
RZEPKA,5503
ROGALSKA,5500
GRZEGORCZYK,5491
FRĄCZEK,5486
DŁUGOSZ,5470
WITCZAK,5458
MALEC,5450
MALISZEWSKA,5445
ROGALA,5445
ROJEK,5445
TKACZYK,5408
GAWROŃSKA,5405
TROJANOWSKA,5396
DOBOSZ,5393
RADOMSKA,5387
RYBICKA,5348
LACH,5302
BOREK,5299
STEC,5277
MIKA,5269
FRANKOWSKA,5256
KACZOROWSKA,5229
BOGUCKA,5226
KISIEL,5220
WĄSIK,5191
ŚLUSARCZYK,5181
WIĘCKOWSKA,5160
ZABOROWSKA,5155
GAŁĄZKA,5150
GRZESIAK,5112
KWAŚNIEWSKA,5109
KMIECIK,5108
KARWOWSKA,5093
BIAŁAS,5064
FRĄCKOWIAK,5036
PIETRAS,5027
DUDZIŃSKA,5011
KUBACKA,5011
JUSZCZAK,4984
WALKOWIAK,4983
LIPSKA,4979
BOCHENEK,4975
SOKÓŁ,4966
JANAS,4964
WNUK,4963
NAWROT,4959
WOJTCZAK,4958
ROSIAK,4951
WÓJCICKA,4949
LASOTA,4948
KOŁODZIEJSKA,4938
PAWELEC,4937
MROCZEK,4904
BURZYŃSKA,4897
WROŃSKA,4880
ZYGMUNT,4880
CZYŻEWSKA,4879
SKRZYPEK,4878
SZAFRAŃSKA,4868
FIJAŁKOWSKA,4859
PIÓRKOWSKA,4844
PIWOWARCZYK,4844
JĘDRZEJCZYK,4843
ŁUKASIEWICZ,4837
ZAJĄCZKOWSKA,4812
GRUSZCZYŃSKA,4803
KRYSIAK,4797
BOROWIEC,4794
ŁAPIŃSKA,4794
MASŁOWSKA,4794
PASTERNAK,4790
JAGODZIŃSKA,4778
ŻMUDA,4775
