name,amount
FLORENTYNA,1377
DOBROSŁAWA,1373
BERNARDYNA,1360
ULIANA,1354
ANDREA,1351
JAROSŁAWA,1349
ZHANNA,1347
MARTINA,1338
SOPHIA,1313
KATSIARYNA,1298
ERNA,1294
ANZHELA,1291
TETYANA,1288
IULIIA,1274
ERIKA,1270
VERONICA,1261
LARA,1256
NICOL,1225
LIVIA,1215
DARYNA,1211
WANESA,1211
HANKA,1207
LINDA,1206
LUBA,1196
ANASTASIA,1191
DŻESIKA,1185
MARCJANNA,1181
JENNIFER,1169
ALA,1165
MALINA,1161
ANHELINA,1154
NIKOL,1154
GANNA,1150
MAJKA,1149
WIRGINIA,1141
PATRICIA,1137
KSENIIA,1133
ZINAIDA,1132
ISABELLA,1121
MARITA,1121
GLORIA,1120
BALBINA,1118
KUNEGUNDA,1109
GALINA,1106
SIMONA,1084
ALISA,1081
SEWERYNA,1062
DAJANA,1051
ANIKA,1047
JANA,1035
FILOMENA,1028
EMANUELA,1019
SABRINA,999
MIRA,997
HANNAH,977
SVETLANA,964
BERENIKA,962
CARMEN,953
CAROLINE,946
KORNELA,946
GABRIELLA,939
NIKOLETTA,939
DARIIA,936
DARYA,934
RAMONA,928
BLANDYNA,919
BENEDYKTA,915
IWONNA,914
LEONTYNA,908
LUBOMIRA,907
SVIATLANA,906
BOGDANA,898
ŻAKLINA,898
LIGIA,892
MARYIA,892
AMALIA,882
KIRA,876
NELLY,872
LIUDMILA,871
DALIA,866
GABRYELA,865
ALICE,858
VALENTINA,855
NAOMI,853
ZORIANA,852
EMILA,851
LILY,851
MILANA,848
ELIZABETH,844
INA,842
NADIYA,838
BOHDANA,837
INGRID,831
ALICIA,830
INGEBORGA,830
MICHAELA,827
SWIETŁANA,822
SYBILLA,818
IRMA,816
IDALIA,813
LYUDMYLA,800
NELIA,792
BIANCA,788
DOMICELA,786
CELESTYNA,779
SNIZHANA,771
TEKLA,768
GRACJANA,767
INKA,767
JÓZEFINA,764
VIKTORYIA,757
HANA,754
LILLY,747
ROXANA,744
YAROSLAVA,739
VIOLETA,738
MARGARITA,733
KAYA,732
VLADYSLAVA,732
ELLA,729
SŁAWA,729
LEONIA,727
BERNARDETA,724
ŻANETTA,723
LYUBOV,713
MARGARETA,702
CAROLINA,695
ANZHELIKA,694
MARIE,694
ABIGAIL,693
ARIANA,687
BENITA,685
BERTA,684
MONICA,678
EKATERINA,668
LINA,664
DOBRAWA,661
ELA,658
JESIKA,654
KASANDRA,645
ZOIA,627
