age,one,two,tree_or_more,no_one
18 - 24,835,541,0,176
25 - 29,732,375,0,271
30 - 34,855,314,50,380
35 - 39,719,304,63,439
40 - 44,543,260,59,486
45 - 49,463,172,0,478
50 - 54,461,151,0,523
55 - 59,514,176,0,629
60 - 64,455,159,0,617
65 - 69,340,102,0,494
