,IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
169,NICOLE,KOBIETA,8886
170,NATASZA,KOBIETA,8855
171,TATIANA,KOBIETA,8843
172,NICOLA,KOBIETA,8839
173,JOWITA,KOBIETA,8559
174,VICTORIA,KOBIETA,8548
175,MARYNA,KOBIETA,8217
176,ROMANA,KOBIETA,8039
177,APOLONIA,KOBIETA,7988
178,VANESSA,KOBIETA,7892
179,LUDWIKA,KOBIETA,7804
180,JULIANNA,KOBIETA,7625
181,TAMARA,KOBIETA,7605
182,ELEONORA,KOBIETA,7592
183,VALENTYNA,KOBIETA,7445
184,MARZENNA,KOBIETA,7408
185,WACŁAWA,KOBIETA,7375
186,JESSICA,KOBIETA,7363
187,INGA,KOBIETA,7342
188,LIWIA,KOBIETA,7143
189,ZENONA,KOBIETA,7127
190,ESTERA,KOBIETA,7002
191,MELANIA,KOBIETA,6966
192,ADA,KOBIETA,6889
193,NADIIA,KOBIETA,6841
194,BERNADETTA,KOBIETA,6660
195,MIA,KOBIETA,6413
196,WALENTYNA,KOBIETA,6403
197,HILDEGARDA,KOBIETA,6389
198,INNA,KOBIETA,6312
199,ZENOBIA,KOBIETA,6251
200,DONATA,KOBIETA,6215
201,LUDMIŁA,KOBIETA,6183
202,FELICJA,KOBIETA,6154
203,ANETTA,KOBIETA,6064
204,BIANKA,KOBIETA,5922
205,LARYSA,KOBIETA,5921
206,ROMUALDA,KOBIETA,5885
207,OTYLIA,KOBIETA,5557
208,ELENA,KOBIETA,5536
209,GIZELA,KOBIETA,5531
210,AMANDA,KOBIETA,5339
211,PELAGIA,KOBIETA,5269
212,IRMINA,KOBIETA,5153
213,LIUBOV,KOBIETA,5039
214,RITA,KOBIETA,5039
215,ERYKA,KOBIETA,4896
216,OLEKSANDRA,KOBIETA,4869
217,IDA,KOBIETA,4857
218,LILIA,KOBIETA,4851
219,SŁAWOMIRA,KOBIETA,4806
220,MAYA,KOBIETA,4804
221,BERNARDA,KOBIETA,4716
222,LILLA,KOBIETA,4697
223,YANA,KOBIETA,4620
224,LONGINA,KOBIETA,4579
225,ALLA,KOBIETA,4562
226,WALERIA,KOBIETA,4548
227,TEODOZJA,KOBIETA,4498
228,RYSZARDA,KOBIETA,4361
229,TEODORA,KOBIETA,4352
230,EMMA,KOBIETA,4167
231,ADELAJDA,KOBIETA,4106
232,KAMILLA,KOBIETA,3847
233,MIRELA,KOBIETA,3840
234,ALBINA,KOBIETA,3823
235,LILIIA,KOBIETA,3775
236,FAUSTYNA,KOBIETA,3464
237,ALONA,KOBIETA,3388
238,SAMANTA,KOBIETA,3368
239,OLIMPIA,KOBIETA,3362
240,LILA,KOBIETA,3347
241,FELIKSA,KOBIETA,3306
242,ALEXANDRA,KOBIETA,3248
243,LUCJA,KOBIETA,3248
244,MARYLA,KOBIETA,3194
245,MARCELA,KOBIETA,3144
246,SOFIIA,KOBIETA,3141
247,ZYTA,KOBIETA,3134
248,SOFIA,KOBIETA,3106
249,LEONARDA,KOBIETA,3072
250,GAJA,KOBIETA,3054
251,MARIANA,KOBIETA,3011
252,ANGELINA,KOBIETA,2977
253,IVANNA,KOBIETA,2946
254,VERONIKA,KOBIETA,2934
255,VIKTORIA,KOBIETA,2934
256,OKTAWIA,KOBIETA,2821
257,KSENIA,KOBIETA,2803
258,VALERIIA,KOBIETA,2796
259,KONSTANCJA,KOBIETA,2768
260,PAMELA,KOBIETA,2745
261,ZOJA,KOBIETA,2729
262,KHRYSTYNA,KOBIETA,2718
263,WANESSA,KOBIETA,2663
264,BOLESŁAWA,KOBIETA,2503
265,BOGNA,KOBIETA,2498
266,JAGNA,KOBIETA,2467
267,MIRELLA,KOBIETA,2434
268,CLAUDIA,KOBIETA,2430
269,LESIA,KOBIETA,2412
270,NOEMI,KOBIETA,2396
271,KRZYSZTOFA,KOBIETA,2333
272,SALOMEA,KOBIETA,2314
273,VIRA,KOBIETA,2306
274,NADZIEJA,KOBIETA,2296
275,EDWARDA,KOBIETA,2290
276,ELFRYDA,KOBIETA,2284
277,NEL,KOBIETA,2271
278,INEZ,KOBIETA,2265
279,MARIYA,KOBIETA,2175
280,SOPHIE,KOBIETA,2158
281,ALENA,KOBIETA,2156
282,EMILY,KOBIETA,2073
283,OLA,KOBIETA,2044
284,EDELTRAUDA,KOBIETA,2041
285,STELLA,KOBIETA,2017
286,MICHELLE,KOBIETA,2008
287,NATALIYA,KOBIETA,1974
288,YEVHENIIA,KOBIETA,1954
289,SARAH,KOBIETA,1937
290,ANGELA,KOBIETA,1932
291,TOLA,KOBIETA,1913
292,MARINA,KOBIETA,1868
293,YELYZAVETA,KOBIETA,1838
294,YULIYA,KOBIETA,1823
295,MIRIAM,KOBIETA,1801
296,INES,KOBIETA,1785
297,OLESIA,KOBIETA,1783
298,RUSLANA,KOBIETA,1773
299,IRINA,KOBIETA,1769
300,LEA,KOBIETA,1760
301,IZA,KOBIETA,1739
302,ARLETTA,KOBIETA,1718
303,JAŚMINA,KOBIETA,1718
304,WIERA,KOBIETA,1711
305,GALYNA,KOBIETA,1686
306,ROMA,KOBIETA,1670
307,RUTA,KOBIETA,1667
308,NATALIE,KOBIETA,1661
309,MARIETTA,KOBIETA,1660
310,KLEMENTYNA,KOBIETA,1655
311,MANUELA,KOBIETA,1655
312,KLAUDYNA,KOBIETA,1643
313,HELGA,KOBIETA,1623
314,ANTONIA,KOBIETA,1615
315,ANASTASIYA,KOBIETA,1605
316,VITA,KOBIETA,1600
317,POLINA,KOBIETA,1586
318,EVA,KOBIETA,1578
319,RAISA,KOBIETA,1567
320,TATSIANA,KOBIETA,1565
321,GERDA,KOBIETA,1527
322,GRETA,KOBIETA,1506
323,LIDIIA,KOBIETA,1497
324,NATALLIA,KOBIETA,1466
325,KARYNA,KOBIETA,1452
326,MARHARYTA,KOBIETA,1435
327,ANA,KOBIETA,1411
328,VOLHA,KOBIETA,1406
329,MYROSLAVA,KOBIETA,1404
330,IRMGARDA,KOBIETA,1397
331,TEOFILA,KOBIETA,1393
332,KRISTINA,KOBIETA,1386
333,MILA,KOBIETA,1381
334,EULALIA,KOBIETA,1380
335,FLORENTYNA,KOBIETA,1377
336,DOBROSŁAWA,KOBIETA,1373
337,BERNARDYNA,KOBIETA,1360
338,ULIANA,KOBIETA,1354
339,ANDREA,KOBIETA,1351
340,JAROSŁAWA,KOBIETA,1349
341,ZHANNA,KOBIETA,1347
342,MARTINA,KOBIETA,1338
343,SOPHIA,KOBIETA,1313
344,KATSIARYNA,KOBIETA,1298
345,ERNA,KOBIETA,1294
346,ANZHELA,KOBIETA,1291
347,TETYANA,KOBIETA,1288
348,IULIIA,KOBIETA,1274
349,ERIKA,KOBIETA,1270
350,VERONICA,KOBIETA,1261
351,LARA,KOBIETA,1256
352,NICOL,KOBIETA,1225
353,LIVIA,KOBIETA,1215
354,DARYNA,KOBIETA,1211
