,Dolnośląskie,Kujawsko-pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-mazurskie,Wielkopolskie,Zachodniopomorskie
61,18835,13362,13360,6653,15656,20636,31432,7020,13685,8091,14130,30526,8513,9825,21141,11523
62,19966,13951,13858,7093,16469,21016,32512,7060,13664,8144,14587,31287,8782,10093,21893,12117
63,20367,14223,13985,7272,16641,20819,33305,6847,13353,8140,14698,31242,8809,10029,22212,12346
64,20154,14019,13785,7056,16562,20138,33258,6597,13017,7862,14711,30607,8720,9715,22054,12287
65,20029,13586,13458,6864,16538,19658,33005,6497,12578,7332,14559,29892,8562,9444,21239,12270
66,19329,12904,12778,6546,15863,18990,32179,6255,12158,7005,14020,28636,8225,8929,20176,11670
67,18455,12160,12188,6246,15116,18124,30764,5892,11601,6544,13205,27114,7906,8270,19341,10897
68,18066,11569,11802,6037,14641,17363,29354,5613,11108,5972,12719,26176,7610,7804,18737,10508
69,17290,10946,11103,5713,13932,16520,27700,5377,10619,5586,12376,25116,7145,7417,17899,10130
70,16180,10448,10298,5409,13041,15440,25825,5100,9887,5283,11857,23824,6722,7047,16854,9720
71,15092,9980,9378,5072,11886,14110,23643,4693,9101,4870,11086,22012,6182,6626,15983,9099
72,14124,9275,8710,4811,11282,13242,21959,4333,8348,4593,10234,19909,5745,6037,15325,8374
73,12755,8319,8128,4384,10854,12353,20429,3883,7671,4126,9338,18122,5444,5232,14219,7451
74,10649,7494,7020,3696,10290,10845,18372,3221,6714,3462,8047,15701,4818,4338,13591,6383
75,7749,5705,5897,2599,8057,9194,14823,2420,5514,2939,5885,12314,3760,3217,10347,4727
76,5858,4061,5163,1782,5672,8080,11994,2091,4716,2571,4413,10769,3055,2494,6466,3504
77,5370,3871,4496,1672,5184,7355,11013,2071,4163,2462,4390,10699,2765,2306,5793,3231
78,4836,3770,3996,1558,4838,6391,9877,1898,3630,2444,4299,10067,2364,2235,5648,2939
79,4641,3588,3902,1500,4554,5890,9282,1953,3568,2348,4038,9924,2202,2155,5435,2759
80,4665,3372,3867,1467,4303,6019,9181,2054,3827,2185,3775,9876,2276,1996,5091,2650
81,4380,3089,3552,1360,3953,5889,8820,1924,3654,2037,3558,9172,2214,1891,4856,2532
82,3974,2833,3271,1217,3616,5473,8226,1763,3242,1898,3328,8152,1997,1760,4590,2256
83,3724,2577,3005,1096,3340,4975,7652,1572,3072,1795,3019,7114,1860,1624,4104,1997
84,3421,2305,2626,1020,3095,4600,7062,1413,2780,1648,2748,6262,1722,1476,3652,1860
85,16632,10864,12701,4732,14437,21264,37055,6785,12726,8111,13009,28702,8159,6560,16804,8801
