,Dolnośląskie,Kujawsko-pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-mazurskie,Wielkopolskie,Zachodniopomorskie
62,22685,15610,15340,7825,19363,22930,37808,7600,14719,8827,16229,36158,9512,10970,24651,13709
63,23453,16087,15927,8040,20071,23133,39357,7521,14609,8845,16764,36573,9573,11000,25461,14075
64,23689,16031,15907,8089,20241,22818,40064,7454,14467,8626,16899,35920,9618,11041,25425,14243
65,23984,15738,15680,8054,20227,22724,40549,7328,14329,8355,16918,35582,9717,10907,24966,14136
66,23709,15281,15418,7900,19919,22218,40107,7208,14045,7945,16771,35082,9495,10480,24434,13741
67,23033,14788,15088,7603,19534,21585,39198,7052,13693,7462,16201,34224,9205,9988,23884,13296
68,22912,14411,14797,7494,19351,21239,38274,6916,13409,7338,15741,33518,9094,9752,23471,13106
69,22783,14124,14358,7305,19088,20733,36760,6813,12988,7190,15411,32985,8965,9417,22825,12881
70,21752,13869,13942,6931,18344,19859,34894,6595,12219,6900,14937,31837,8674,9033,22081,12335
71,20345,13393,13119,6687,17142,18747,32551,6313,11647,6635,14193,29563,8089,8493,21411,11685
72,19238,12693,12528,6389,16652,17916,31042,5905,11296,6399,13421,27318,7591,7889,20860,10983
73,17630,11831,11920,5798,16267,17013,29777,5315,10528,5912,12569,25379,7328,7183,19793,9924
74,15177,11019,10704,5087,15909,15573,27433,4596,9403,5184,11078,22578,6687,6218,19377,8669
75,11450,8469,9313,3790,12793,13473,22745,3603,8063,4495,8178,18434,5461,4794,15138,6587
76,9049,6199,8315,2832,9377,12158,19215,3164,7244,4075,6370,16767,4673,3843,9872,4998
77,8623,6198,7571,2706,8995,11330,18096,3187,6541,4043,6570,17091,4351,3735,9207,4789
78,8237,6210,6864,2639,8638,10036,16779,3013,5799,4107,6638,16650,3846,3813,9177,4654
79,8413,6147,6954,2733,8428,9575,16415,3292,5981,4038,6499,16950,3739,3924,8992,4632
80,8872,6028,7353,2786,8374,10217,16598,3702,6605,3995,6400,17053,4107,3880,9113,4793
81,8961,5880,7030,2712,8075,10715,16604,3742,6621,3927,6330,15999,4346,3911,9267,4701
82,8549,5664,6620,2567,7751,10303,16388,3553,6182,3813,6167,14569,4119,3820,9035,4474
83,8227,5428,6234,2488,7459,9650,15681,3323,5919,3667,5831,13490,3822,3575,8449,4413
84,8003,5027,5797,2384,7158,9169,14962,3091,5598,3483,5478,12554,3706,3385,7825,4327
85,47391,29211,35619,13636,42691,51524,90482,16216,31997,21053,31532,65967,21771,19763,44290,24826
