,Nazwisko aktualne,Liczba
9349,KRZOSKA,335
9350,KULUS,335
9351,LEVYTSKYI,335
9352,LIDZBARSKI,335
9353,MARUSZCZYK,335
9354,NOJSZEWSKI,335
9355,NYK,335
9356,PAWLISZYN,335
9357,PIWOWAREK,335
9358,PŁOCICA,335
9359,PROKOPCZUK,335
9360,PRYGIEL,335
9361,ROMANENKO,335
9362,RZEŹNICZEK,335
9363,SAROSIEK,335
9364,STAREK,335
9365,STARUCH,335
9366,STEUER,335
9367,SZETELA,335
9368,SZEWCZYKOWSKI,335
9369,SZKUP,335
9370,ZDZIEBKO,335
9371,ADAMIUK,334
9372,CALIŃSKI,334
9373,CUKROWSKI,334
9374,CZENCZEK,334
9375,CZYŻYKOWSKI,334
9376,GARGAS,334
9377,JASICKI,334
9378,KOBEL,334
9379,KOCIEMBA,334
9380,KOŚCIUSZKO,334
9381,KRYSIUK,334
9382,KURZAC,334
9383,LUBASZKA,334
9384,LULEK,334
9385,MÓRAWSKI,334
9386,OPALACH,334
9387,PAWLOS,334
9388,PLUTOWSKI,334
9389,TOCZYŃSKI,334
9390,TROCHIM,334
9391,TRZMIELEWSKI,334
9392,WASYLUK,334
9393,ŻÓŁTAŃSKI,334
9394,BŁAŻEJAK,333
9395,BOCZOŃ,333
9396,BOGUSIEWICZ,333
9397,DRZAZGOWSKI,333
9398,FALISZEWSKI,333
9399,GOMAN,333
9400,GRUŻEWSKI,333
9401,GRZELEC,333
9402,HAJDASZ,333
9403,HAŁKA,333
9404,KŁODAWSKI,333
9405,KOTYRBA,333
9406,MAMAK,333
9407,MASŁYK,333
9408,MISHCHENKO,333
9409,MŁYŃCZYK,333
9410,PIERZGA,333
9411,SEMLA,333
9412,SIKOŃ,333
9413,SIOŁA,333
9414,SPRYCHA,333
9415,TRAJDOS,333
9416,VU,333
9417,WĘCLEWSKI,333
9418,WOŁODŹKO,333
9419,WYGODA,333
9420,ZIEGERT,333
9421,BANCERZ,332
9422,BROŻYŃSKI,332
9423,BRYCZEK,332
9424,CHACHULSKI,332
9425,DŁUGOZIMA,332
9426,DZIAŁA,332
9427,FEDOROV,332
9428,FIJAŁEK,332
9429,FOGEL,332
9430,GIBKI,332
9431,GOLIASZ,332
9432,HASIUK,332
9433,JĘDRAL,332
9434,KAMYSZEK,332
9435,KURASIŃSKI,332
9436,MAJKRZAK,332
9437,MANDRYSZ,332
9438,NIERADKO,332
9439,NOWOBILSKI,332
9440,OBIEDZIŃSKI,332
9441,OCHMANN,332
9442,RAFAŁOWSKI,332
9443,RZECZYCKI,332
9444,SENGER,332
9445,STARNAWSKI,332
9446,STECKO,332
9447,SYC,332
9448,SZARKOWSKI,332
9449,SZUMLAŃSKI,332
9450,ŚWIATŁY,332
9451,TRAWICKI,332
9452,ULICKI,332
9453,WSZOŁA,332
9454,ZIĘBIŃSKI,332
9455,ŻABIEREK,332
9456,ANDRYS,331
9457,BROJEK,331
9458,BRZĘCKI,331
9459,BYSTRY,331
9460,DELIKAT,331
9461,DOKTOR,331
9462,DORUCH,331
9463,GIERAS,331
9464,GRZEMSKI,331
9465,JARGIŁO,331
9466,KOSTORZ,331
9467,KOZLOV,331
9468,KRUŚ,331
9469,MARJAŃSKI,331
9470,MĄDRAWSKI,331
9471,MICHNOWICZ,331
9472,MYSŁOWSKI,331
9473,OKŁA,331
9474,OLEWNIK,331
9475,PELA,331
9476,ROLIŃSKI,331
9477,ROZPĘDOWSKI,331
9478,STOCHAJ,331
9479,SZCZEPAN,331
9480,SZYMKÓW,331
9481,ŚMIERCIAK,331
9482,TALAROWSKI,331
9483,ZDULSKI,331
9484,ŻEBRACKI,331
9485,BURGHARDT,330
9486,CHABA,330
9487,DEPTUCH,330
9488,GRATKOWSKI,330
9489,HOŁOTA,330
9490,JACHOWSKI,330
9491,JASNOS,330
9492,KLISZ,330
9493,KONEWKA,330
9494,MUREK,330
9495,PYCLIK,330
9496,RATKA,330
9497,SŁOJEWSKI,330
9498,SOBIŁO,330
9499,SZKATUŁA,330
9500,SZYWAŁA,330
9501,TROKA,330
9502,UŁANOWICZ,330
9503,WALOSZCZYK,330
9504,ZALIŃSKI,330
9505,ZIARNO,330
9506,BEJMA,329
9507,BORTNIK,329
9508,BRYGOŁA,329
9509,CWALIŃSKI,329
9510,DŁUSKI,329
9511,DZIUDA,329
9512,GODZISZEWSKI,329
9513,GRZEŚKÓW,329
9514,HALMAN,329
9515,JAŻDŻYK,329
9516,KARABAN,329
9517,KARABIN,329
9518,KOCOŁ,329
9519,KORBECKI,329
9520,KRYJAK,329
9521,KRZYCZKOWSKI,329
9522,MAŁYCHA,329
9523,MAŁYSZKA,329
9524,MĘKARSKI,329
9525,PIESZKO,329
9526,POLNIK,329
9527,RUGAŁA,329
9528,RYTWIŃSKI,329
9529,SIELAWA,329
9530,STRÓJWĄS,329
9531,TYLIŃSKI,329
9532,WASIUK,329
9533,WNĘTRZAK,329
9534,ARKUSZEWSKI,328
9535,BARCZYKOWSKI,328
9536,BARTON,328
9537,BASIURA,328
9538,BIEŃCZAK,328
9539,CICH,328
9540,DRUZGAŁA,328
9541,GNUTEK,328
9542,GORYCZKA,328
9543,GWARDIAK,328
9544,HADAŚ,328
9545,HUDY,328
9546,KAROL,328
9547,KNOPEK,328
9548,KUĆMIERZ,328
9549,LISOŃ,328
9550,ŁYSY,328
9551,MACHNIKOWSKI,328
9552,MAŁAS,328
9553,MIĘTKI,328
9554,MILIK,328
9555,NAGÓRNY,328
9556,NAWOJSKI,328
9557,PACHURA,328
9558,PAPCIAK,328
9559,POLCZYK,328
9560,RADOŁA,328
9561,REDZIK,328
9562,RYPIŃSKI,328
9563,SIARKOWSKI,328
9564,SIEG,328
9565,SMOLEC,328
9566,SZOSTOK,328
9567,SZYMONEK,328
9568,TARAPATA,328
9569,TOMCZYSZYN,328
9570,WESTFAL,328
9571,WOŁOSZCZUK,328
9572,ZUBRYCKI,328
9573,ARENDARCZYK,327
9574,BILYI,327
9575,BOIŃSKI,327
9576,BREŚ,327
9577,CEMPA,327
9578,FULARCZYK,327
9579,GARBACIAK,327
9580,GOLONKO,327
9581,GREGORCZUK,327
9582,HEBA,327
9583,KONWIŃSKI,327
9584,KRETOWICZ,327
9585,KROKOSZ,327
9586,KURZĄTKOWSKI,327
9587,KUSA,327
9588,MAJTYKA,327
9589,MARCHWICKI,327
9590,MASZEWSKI,327
9591,MATŁOSZ,327
9592,MILEJSKI,327
9593,MISTARZ,327
9594,MOSOŃ,327
9595,MYŚLICKI,327
9596,OSIPOWICZ,327
9597,OSOJCA,327
9598,PACURA,327
9599,PALUSIŃSKI,327
9600,PAZDUR,327
9601,PIEPER,327
9602,POTEREK,327
9603,PRACZYK,327
9604,RAKUS,327
9605,ROMANKIEWICZ,327
9606,RUMAK,327
9607,RYBKOWSKI,327
9608,SWACHA,327
9609,SWĘDROWSKI,327
9610,SZAWŁOWSKI,327
9611,TYNIEC,327
9612,WIEJA,327
9613,WODYŃSKI,327
9614,ADAMASZEK,326
9615,BANASIUK,326
9616,BOGUNIA,326
9617,DŁUGOPOLSKI,326
9618,DUBIK,326
9619,FELUŚ,326
9620,FLORIAN,326
9621,FRELICH,326
9622,HAHN,326
9623,HAREMZA,326
9624,HOŁYSZ,326
9625,KACZÓWKA,326
9626,KRAWCZYKOWSKI,326
9627,KUKIER,326
9628,KUMIĘGA,326
9629,KUŹNIA,326
9630,KWASIGROCH,326
9631,MACHERZYŃSKI,326
9632,MONKIEWICZ,326
9633,NIENAŁTOWSKI,326
9634,PAŃKO,326
9635,PASIONEK,326
9636,PITALA,326
9637,RACZAK,326
9638,RAWICKI,326
9639,REGIEC,326
9640,ROMEK,326
9641,SĄDEL,326
9642,SMUSZ,326
9643,SZYMAŃCZAK,326
9644,WOJTYŃSKI,326
9645,WORONKO,326
9646,ADRIAN,325
9647,BUDZICH,325
9648,CHUDECKI,325
9649,CZERKIES,325
9650,DACKO,325
9651,ELERT,325
9652,HACHUŁA,325
9653,JAŃSKI,325
9654,KARWASZ,325
9655,KLĘK,325
9656,KOLENDO,325
9657,KWAPIS,325
9658,OBSZAŃSKI,325
9659,OGONEK,325
9660,PANASEWICZ,325
9661,PATOŁA,325
9662,POKUSA,325
9663,PROTASIUK,325
9664,SMARDZ,325
9665,STAROSTKA,325
9666,STEFANKIEWICZ,325
9667,TRYBEK,325
9668,WELENC,325
9669,ZAWORA,325
9670,ANIOŁA,324
9671,BAKIERA,324
9672,BEDNAROWICZ,324
9673,BERNARD,324
9674,BURYŁO,324
9675,CHOCHOROWSKI,324
9676,CIOŁKOWSKI,324
9677,DOMINO,324
9678,DUSIK,324
9679,FITA,324
9680,HANAS,324
9681,JAMROZY,324
9682,JÓZEFCZAK,324
9683,KALINKA,324
9684,KIEŚ,324
9685,KORNOBIS,324
9686,KRUKAR,324
9687,MILIŃSKI,324
9688,MITERA,324
9689,NOWOGÓRSKI,324
9690,OSETEK,324
9691,PALUSZAK,324
9692,PAZDRO,324
9693,SIDORSKI,324
9694,SOBASZEK,324
9695,STARK,324
9696,SZYBKA,324
9697,SZYMECZKO,324
9698,WOJKOWSKI,324
9699,ŻÓŁKOWSKI,324
9700,BABENKO,323
9701,BADZIŃSKI,323
9702,BARNA,323
9703,BĄCZYŃSKI,323
9704,BIENEK,323
9705,CERAN,323
9706,DRABIŃSKI,323
9707,DYCZKO,323
9708,EBERTOWSKI,323
9709,GARWOLIŃSKI,323
9710,GICALA,323
9711,GRZYMSKI,323
9712,HADUCH,323
9713,JANUSZCZAK,323
9714,JASZCZOŁT,323
9715,KOSK,323
9716,KRENC,323
9717,KRZYK,323
9718,LUDWISIAK,323
9719,ŁECHTAŃSKI,323
9720,MAZIARKA,323
9721,OGIEGŁO,323
9722,PERLIK,323
9723,PRZEWŁOKA,323
9724,PUKAS,323
9725,SIWCZYK,323
9726,STACHNIAK,323
9727,SZALKOWSKI,323
9728,ŚCIBEK,323
9729,WERYŃSKI,323
9730,WYROŚLAK,323
9731,BOBIK,322
9732,BRONIEK,322
9733,CHUCHLA,322
9734,DANIŁOWSKI,322
9735,DROBIK,322
9736,DYSZY,322
9737,GARBIEC,322
9738,GOLLA,322
9739,GRDEŃ,322
9740,GURBA,322
9741,HANKIEWICZ,322
9742,IRLA,322
9743,JAGLIŃSKI,322
9744,KMIECIŃSKI,322
9745,KONIECZEK,322
9746,LELONEK,322
9747,LEPCZYŃSKI,322
9748,MADOŃ,322
9749,MAMROT,322
9750,MIAŁKOWSKI,322
9751,MŁOTEK,322
9752,PARDO,322
9753,PAWLACZEK,322
9754,PIKULA,322
9755,PODOBA,322
9756,PRYSZCZ,322
9757,PRZEKLASA,322
9758,RORAT,322
9759,SADO,322
9760,SIERKA,322
9761,STANICZEK,322
9762,SZLASKI,322
9763,ŚWIATŁOŃ,322
9764,TORZEWSKI,322
9765,WOJTIUK,322
9766,WYLĘŻEK,322
9767,BANDROWSKI,321
9768,CEBULAK,321
9769,DOBROŃ,321
9770,DOMEK,321
9771,DYLAK,321
9772,FALĘCKI,321
9773,HOLIK,321
9774,JANCEWICZ,321
9775,JARMUŻEK,321
9776,KOSTUR,321
9777,KOŚMICKI,321
9778,KRYSZTOFORSKI,321
9779,MINKINA,321
9780,NEHRING,321
9781,NĘDZI,321
9782,NIEBUDEK,321
9783,NIESŁONY,321
9784,OCHAŁEK,321
9785,OCHOTA,321
9786,PERSKI,321
9787,PIEKŁO,321
9788,POLITOWICZ,321
9789,PURGAŁ,321
9790,REMBELSKI,321
9791,SKRZYPA,321
9792,SYPUŁA,321
9793,TOKAJ,321
9794,TOWAREK,321
9795,WARGOCKI,321
9796,ZASADZKI,321
9797,ŻOŁĄDKIEWICZ,321
9798,BEJM,320
9799,BENDER,320
9800,BIAŁOŻYT,320
9801,BRAUER,320
9802,CEYNOWA,320
9803,CZAJCZYŃSKI,320
9804,DELEKTA,320
9805,DOROSZKIEWICZ,320
9806,DUCHNIK,320
9807,FAC,320
9808,HEIN,320
9809,HONCHARUK,320
9810,ICIEK,320
9811,IDZI,320
9812,KAZBERUK,320
9813,KLISIEWICZ,320
9814,KUBALSKI,320
9815,KUBOSZEK,320
9816,LIBERADZKI,320
9817,ŁĄTKOWSKI,320
9818,ŁUPINA,320
9819,MAJEROWSKI,320
9820,ORACZEWSKI,320
9821,PAŃCZYSZYN,320
9822,SASINOWSKI,320
9823,SMOCZYK,320
9824,SZARO,320
9825,SZURLEJ,320
9826,UZDOWSKI,320
9827,BEŁZA,319
9828,BEZAK,319
9829,BORZYCH,319
9830,DĄBRÓWKA,319
9831,GRABOWIEC,319
9832,HYDZIK,319
9833,JADCZYK,319
9834,KALA,319
9835,KAROLCZUK,319
9836,KOPEL,319
9837,KOSAK,319
9838,KROKOS,319
9839,KROKOWSKI,319
9840,MEISSNER,319
9841,NIETUPSKI,319
9842,NIEWOLA,319
9843,OBŁÓJ,319
9844,PREUSS,319
9845,SMITH,319
9846,SOROKO,319
9847,STEMPEL,319
9848,STĘCHŁY,319
9849,TAZBIR,319
9850,TYSZKOWSKI,319
9851,WNUCZEK,319
9852,WOSIAK,319
9853,BIESAGA,318
9854,BYZDRA,318
9855,CHABROWSKI,318
9856,CHRZĄSTOWSKI,318
9857,DOMARECKI,318
9858,DUNIKOWSKI,318
9859,GAŁACH,318
9860,GIERAŁTOWSKI,318
9861,GRĘBOWIEC,318
9862,GRONCZEWSKI,318
9863,JAJE,318
9864,JAREMEK,318
9865,KORDYLEWSKI,318
9866,KRÓWKA,318
9867,KURPANIK,318
9868,KUSTER,318
9869,KWARTA,318
9870,ŁASZCZEWSKI,318
9871,MAKARENKO,318
9872,MALECHA,318
9873,MATEŃKO,318
9874,NAMYSŁ,318
9875,NAROLSKI,318
9876,NOWOGRODZKI,318
9877,PABIN,318
9878,PODNIESIŃSKI,318
9879,POPIŃSKI,318
9880,PORZEZIŃSKI,318
9881,REICHERT,318
9882,SANDECKI,318
9883,SICIARZ,318
9884,SKOLIK,318
9885,SKOLMOWSKI,318
9886,SOBIESZCZAŃSKI,318
9887,STRZĄDAŁA,318
9888,SZARATA,318
9889,TROCHOWSKI,318
9890,WASZKOWIAK,318
9891,WIERCISZEWSKI,318
9892,ZINCHENKO,318
9893,ŻOŁYNIAK,318
9894,BONDARCHUK,317
9895,BROWARSKI,317
9896,CALIK,317
9897,CHARZEWSKI,317
9898,CHILIMONIUK,317
9899,CZUJ,317
9900,DZIADOWICZ,317
9901,FIDOR,317
9902,GALUBA,317
9903,GŁOWIENKA,317
9904,GRĄCKI,317
9905,KIWAK,317
9906,KLIMKOWICZ,317
9907,KOŁTUNIAK,317
9908,KRYZA,317
9909,KUBEK,317
9910,KUZIOR,317
9911,MACIUK,317
9912,MIRONIUK,317
9913,NOVAK,317
9914,OLBRYCHT,317
9915,PACZOS,317
9916,PROCNER,317
9917,PYDYCH,317
9918,ROZBORSKI,317
9919,RYMAR,317
9920,SOCIK,317
9921,SONTOWSKI,317
9922,STOCHEL,317
9923,STUDENT,317
9924,SZAŁAPSKI,317
9925,TOMAKA,317
9926,WERNICKI,317
9927,WIŚNIK,317
9928,WRZYSZCZ,317
9929,ZGORZELSKI,317
9930,ŻYWIEC,317
9931,BAŁYS,316
9932,BANACHOWSKI,316
9933,BORCZ,316
9934,CHOINA,316
9935,CZOSNYKA,316
9936,DRGAS,316
9937,DUMIN,316
9938,DUNST,316
9939,FOLEK,316
9940,GRECKI,316
9941,GWADERA,316
9942,HOROSZKO,316
9943,IZWORSKI,316
9944,JAMROZ,316
9945,KONDZIOŁKA,316
9946,KONIECKI,316
9947,KOSZNIK,316
9948,KOZIEŃ,316
9949,KRAJZA,316
9950,KUZYK,316
9951,MACIERZYŃSKI,316
9952,MACIŃSKI,316
9953,MIELECH,316
9954,MURDZA,316
9955,NORAS,316
9956,OJRZYŃSKI,316
9957,PIEPRZYCA,316
9958,PIKOS,316
9959,RAJZER,316
9960,SAKWA,316
9961,SENKOWSKI,316
9962,SIDŁO,316
9963,SIPA,316
9964,SOBKOWSKI,316
9965,STWORA,316
9966,ŚWIAT,316
9967,TARACH,316
9968,TRACZYŃSKI,316
9969,TROCIŃSKI,316
9970,WILMAN,316
9971,BĘCZKOWSKI,315
9972,DAWIDEK,315
9973,FUDALEJ,315
9974,GAMROT,315
9975,GARA,315
9976,GAURA,315
9977,GUDZ,315
9978,HONCHAR,315
9979,JANCZUK,315
9980,KARWECKI,315
9981,KUBISZYN,315
9982,KUTER,315
9983,KWACZYŃSKI,315
9984,LEYK,315
9985,MIECHOWICZ,315
9986,MIKULAK,315
9987,MOŃKO,315
9988,NYTKO,315
9989,OŚMIAŁOWSKI,315
9990,PIECZYRAK,315
9991,PIĘTOŃ,315
9992,PŁOCHARCZYK,315
9993,RAJCH,315
9994,ROSOCHACKI,315
9995,SKRZESZEWSKI,315
9996,TOCZYDŁOWSKI,315
9997,WICHEREK,315
9998,WIETRZYK,315
9999,ZAWODNIAK,315
