name,amount
JAROMIR,1266
VLADIMIR,1264
VITALIY,1259
BRIAN,1258
ALI,1251
ELIGIUSZ,1237
GERHARD,1237
VINCENT,1235
SERHIY,1228
JONATHAN,1225
EWALD,1219
NICHOLAS,1211
MIKALAI,1180
NIKITA,1176
YEHOR,1173
ANTONIO,1158
KOSMA,1145
RICHARD,1144
DANIIL,1143
RADOMIR,1136
WILLIAM,1110
OREST,1093
MYROSLAV,1080
ULADZISLAU,1057
DENNIS,1054
WIT,1048
ZBYSŁAW,1040
LUKAS,1039
ALEKSANDR,1038
BAZYLI,1035
ROGER,1029
VALERY,1020
LUCAS,1011
MARKUS,1010
LEONARDO,1001
ERIC,999
SVIATOSLAV,996
DZIANIS,995
JAMES,972
ANDREW,952
AARON,947
SERGHEI,942
JORDAN,930
FRANK,927
LIUBOMYR,923
MARIO,909
PASCAL,904
DIEGO,895
DOMINIC,895
AHMED,882
AUGUST,876
SERGIY,872
ARTHUR,868
ERIK,867
BONIFACY,866
BRAYAN,866
MIHAIL,864
ALEXANDR,861
VADZIM,854
RAMAN,847
CYRYL,846
KLAUS,839
ZBYSZEK,829
CARLOS,817
WOLFGANG,810
JOSEPH,804
BOGUSZ,800
ANATOLI,785
ALLAN,784
FRANCESCO,784
MATTEO,784
MARKO,781
JUAN,779
LUCA,776
BRYAN,775
MAXIM,772
DAVYD,767
ALESSANDRO,762
ALEXANDRU,761
IVO,755
NATHANIEL,753
DONAT,737
DYMITR,735
JOSE,727
YAN,721
ALEXANDRE,715
EDGAR,711
FEDIR,710
AMIR,706
MANUEL,704
ARTSIOM,701
LIAM,698
MEHMET,697
LUBOMIR,696
LUIS,694
JOSHUA,693
KURT,688
ILYA,687
JAKOB,684
OMAR,682
RYAN,679
ANATOLIY,676
GNIEWOMIR,676
HERONIM,675
AURELIUSZ,673
VASILE,670
DIETER,668
MAXYMILIAN,664
IEVGEN,657
ROBERTO,657
NICOLAE,654
KARIM,652
COLIN,650
HANS,641
IAN,641
BENON,635
FELIX,623
EUZEBIUSZ,621
HERMAN,619
NOAH,618
JUSTIN,617
ARSEN,608
MATTHIAS,607
ANDREA,606
MUHAMMAD,604
MUSTAFA,602
ZBYSZKO,602
MOHAMMAD,600
PHILIPP,597
KAI,595
TYMOFII,594
IAROSLAV,591
VADIM,588
DAVIT,587
RICARDO,586
GEORGE,584
CRISTIAN,577
HENRY,577
ARMIN,576
CHRYSTIAN,573
VASILI,573
TRISTAN,567
ZACHARIASZ,565
VLADISLAV,559
KIRYL,558
HEORHII,557
BARTEK,556
PABLO,550
SERGIU,550
ANGELO,547
MOHAMMED,546
MATVII,543
VIACHASLAU,543
TYMUR,542
MIKITA,541
GHEORGHE,536
HILARY,534
RONALD,534
ZACHARY,533
GIUSEPPE,532
MICHAL,532
DUMITRU,527
KRISTIAN,522
SERGEY,519
HARALD,518
JORGE,517
NARCYZ,515
JANUARY,514
REINHOLD,513
TOBIAS,513
DYLAN,509
TOM,509
ALEJANDRO,507
RAJNOLD,505
SAMIR,505
IBRAHIM,504
GIOVANNI,503
RUBEN,503
AXEL,502
ALBERTO,501
MICHEL,499
MIGUEL,498
IDZI,496
IWAN,495
JOEL,494
KASPIAN,493
CASPER,492
BORIS,490
SERGIO,489
CHRISTOPH,488
FABIO,487
STEVEN,486
VALERIY,486
CONSTANTIN,483
KARL,483
MARCUS,483
WALERY,480
JUSTYN,478
MARC,476
GUY,470
