,Nazwisko aktualne;Liczba
232,KUBICKA;7409
233,ŻUKOWSKA;7373
234,JANOWSKA;7335
235,MICHAŁOWSKA;7332
236,MARZEC;7321
237,BIERNACKA;7295
238,GOŁĘBIEWSKA;7274
239,PRZYBYSZ;7248
240,SZYDŁOWSKA;7239
241,STANISZEWSKA;7208
242,ŚLIWA;7204
243,STEFANIAK;7200
244,KACZOR;7176
245,SERAFIN;7176
246,KULESZA;7132
247,LECH;7127
248,MURAWSKA;7124
249,RUDNICKA;7123
250,SMOLIŃSKA;7123
251,POPŁAWSKA;7110
252,LEWICKA;7106
253,PODGÓRSKA;7083
254,KUJAWA;7062
255,DĘBSKA;7039
256,CIEŚLIK;7034
257,STACHOWIAK;7010
258,GÓRA;7004
259,KACPRZAK;6993
260,PIETRZYK;6990
261,PIĄTKOWSKA;6984
262,BANACH;6870
263,NIEMIEC;6846
264,SOWIŃSKA;6841
265,KARCZEWSKA;6838
266,GOŁĘBIOWSKA;6829
267,ŻUREK;6819
268,BANAŚ;6814
269,MATYSIAK;6813
270,ROSIŃSKA;6796
271,KLIMCZAK;6764
272,BIENIEK;6706
273,ŻURAWSKA;6700
274,GODLEWSKA;6691
275,AUGUSTYNIAK;6689
276,RAK;6687
277,ZAWADA;6664
278,CZYŻ;6659
279,KOMOROWSKA;6653
280,GROCHOWSKA;6553
281,SKRZYPCZAK;6544
282,GRUSZKA;6512
283,GÓRKA;6511
284,KUŚ;6489
285,RÓŻAŃSKA;6482
286,SZCZĘSNA;6451
287,PRZYBYŁA;6446
288,WINIARSKA;6419
289,CYBULSKA;6402
290,KRAWIEC;6369
291,PANEK;6360
292,DROZD;6356
293,PTAK;6340
294,KULIK;6313
295,LEŚNIEWSKA;6307
296,KONOPKA;6287
297,KRZYŻANOWSKA;6280
298,MIKOŁAJCZAK;6265
299,GIL;6251
300,CICHOŃ;6242
301,SZCZEPANIK;6190
302,SŁOWIK;6189
303,CICHOCKA;6169
304,ZARZYCKA;6169
305,SIWEK;6167
306,MIELCZAREK;6159
307,ZAREMBA;6143
308,GRACZYK;6104
309,STRZELECKA;6093
310,TOKARSKA;6083
311,SZYMCZYK;6064
312,MŁYNARCZYK;6039
313,BARTKOWIAK;6013
314,KACZYŃSKA;6007
315,MAĆKOWIAK;6004
316,KŁOS;5996
317,STAŃCZYK;5977
318,BUCZEK;5972
319,NIEWIADOMSKA;5948
320,JANUS;5931
321,GRZYB;5925
322,BIERNAT;5920
323,SZCZYGIEŁ;5913
324,SZOSTAK;5913
325,KOSTRZEWA;5896
326,FILIPIAK;5895
327,SKOWRON;5892
328,WĘGRZYN;5872
329,JANIAK;5845
330,GÓRNA;5841
331,JUREK;5830
332,KUCHARCZYK;5819
333,RAKOWSKA;5800
334,KALETA;5794
335,SIENKIEWICZ;5793
336,BOGUSZ;5792
337,GĄSIOR;5782
338,GAWRON;5759
339,CIEŚLA;5745
340,KUBIK;5740
341,KSIĄŻEK;5727
342,BAGIŃSKA;5716
343,ANTCZAK;5706
344,BANASIAK;5705
345,RÓŻYCKA;5679
346,BARTCZAK;5672
347,ŻEBROWSKA;5658
348,GAWLIK;5652
349,KRÓLIKOWSKA;5650
350,TRZCIŃSKA;5601
351,KULA;5600
352,ZARĘBA;5599
353,PAŁKA;5547
354,HAJDUK;5536
355,MIKULSKA;5525
356,RZEPKA;5503
357,ROGALSKA;5500
358,GRZEGORCZYK;5491
359,FRĄCZEK;5486
360,DŁUGOSZ;5470
361,WITCZAK;5458
362,MALEC;5450
363,MALISZEWSKA;5445
364,ROGALA;5445
365,ROJEK;5445
366,TKACZYK;5408
367,GAWROŃSKA;5405
368,TROJANOWSKA;5396
369,DOBOSZ;5393
370,RADOMSKA;5387
371,RYBICKA;5348
372,LACH;5302
373,BOREK;5299
374,STEC;5277
375,MIKA;5269
376,FRANKOWSKA;5256
377,KACZOROWSKA;5229
378,BOGUCKA;5226
379,KISIEL;5220
380,WĄSIK;5191
381,ŚLUSARCZYK;5181
382,WIĘCKOWSKA;5160
383,ZABOROWSKA;5155
384,GAŁĄZKA;5150
385,GRZESIAK;5112
386,KWAŚNIEWSKA;5109
387,KMIECIK;5108
388,KARWOWSKA;5093
389,BIAŁAS;5064
390,FRĄCKOWIAK;5036
391,PIETRAS;5027
392,DUDZIŃSKA;5011
393,KUBACKA;5011
394,JUSZCZAK;4984
395,WALKOWIAK;4983
396,LIPSKA;4979
397,BOCHENEK;4975
398,SOKÓŁ;4966
399,JANAS;4964
400,WNUK;4963
401,NAWROT;4959
402,WOJTCZAK;4958
403,ROSIAK;4951
404,WÓJCICKA;4949
405,LASOTA;4948
406,KOŁODZIEJSKA;4938
407,PAWELEC;4937
408,MROCZEK;4904
409,BURZYŃSKA;4897
410,WROŃSKA;4880
411,ZYGMUNT;4880
412,CZYŻEWSKA;4879
413,SKRZYPEK;4878
414,SZAFRAŃSKA;4868
415,FIJAŁKOWSKA;4859
416,PIÓRKOWSKA;4844
417,PIWOWARCZYK;4844
418,JĘDRZEJCZYK;4843
419,ŁUKASIEWICZ;4837
420,ZAJĄCZKOWSKA;4812
421,GRUSZCZYŃSKA;4803
422,KRYSIAK;4797
423,BOROWIEC;4794
424,ŁAPIŃSKA;4794
425,MASŁOWSKA;4794
426,PASTERNAK;4790
427,JAGODZIŃSKA;4778
428,ŻMUDA;4775
429,DĄBEK;4774
430,JURKIEWICZ;4768
431,BUJAK;4762
432,KRAKOWIAK;4744
433,LISIECKA;4741
434,JĘDRZEJCZAK;4727
435,MISIAK;4722
436,PILARSKA;4702
437,JAGIEŁŁO;4700
438,SOBIERAJ;4690
439,TWARDOWSKA;4684
440,WILCZEK;4677
441,GAWEŁ;4676
442,KARAŚ;4663
443,BIELAWSKA;4660
444,GUTOWSKA;4650
445,SKIBIŃSKA;4650
446,ŁUKASZEWSKA;4646
447,FLIS;4637
448,KAŁUŻA;4636
449,DRZEWIECKA;4621
450,STRZELCZYK;4617
451,KUBICA;4606
452,DĘBOWSKA;4599
453,STELMACH;4599
454,CYGAN;4593
455,ZIELONKA;4592
456,SOŁTYS;4558
457,TARNOWSKA;4543
458,CEBULA;4540
459,SKOCZYLAS;4538
460,SZCZEŚNIAK;4537
461,FALKOWSKA;4533
462,RACZYŃSKA;4524
463,BOBER;4512
464,BILSKA;4509
465,BARTOSIK;4507
466,FILIPEK;4507
467,PAKUŁA;4494
468,WASIAK;4477
469,JAKUBIAK;4474
470,STANEK;4434
471,GĄSIOROWSKA;4433
472,MIERZEJEWSKA;4433
473,KĘDZIORA;4432
474,MAJCHER;4425
475,SZWED;4425
476,GÓRNIAK;4412
477,KRUPIŃSKA;4409
478,NOWACZYK;4378
479,GUZIK;4368
480,STASZEWSKA;4366
481,WIĘCEK;4363
482,CISZEWSKA;4352
483,STOLARCZYK;4345
484,DROZDOWSKA;4343
485,RUSIN;4339
486,CZAPLA;4331
487,URBAŃCZYK;4330
488,KOPCZYŃSKA;4327
489,JAŚKIEWICZ;4325
490,GÓRAL;4311
491,WOLAK;4293
492,MATUSZAK;4283
