,Nazwisko aktualne;Liczba
1036,GOŁASZEWSKA;2480
1037,PIETRZYKOWSKA;2478
1038,GLIŃSKA;2477
1039,MŁYNARSKA;2477
1040,ANTONIAK;2475
1041,KLIMASZEWSKA;2473
1042,PRZYBYSZEWSKA;2466
1043,SEWERYN;2465
1044,BOGDAN;2464
1045,GAJEK;2460
1046,BARTKOWSKA;2459
1047,SŁOMIŃSKA;2458
1048,KAZIMIERCZAK;2456
1049,KONIECZNY;2456
1050,PANASIUK;2456
1051,FLAK;2453
1052,PASTUSZKA;2453
1053,MIREK;2451
1054,JACKIEWICZ;2448
1055,RYBA;2447
1056,MATCZAK;2445
1057,TUSZYŃSKA;2443
1058,RYCHLIK;2442
1059,KRÓLIK;2439
1060,RYBIŃSKA;2439
1061,SZUBERT;2439
1062,JANECZEK;2436
1063,OGÓREK;2436
1064,CZAPLIŃSKA;2435
1065,GÓRALSKA;2432
1066,TURSKA;2431
1067,CIOŁEK;2430
1068,SOBCZYŃSKA;2430
1069,SPYCHAŁA;2430
1070,DOBRZAŃSKA;2429
1071,RUMIŃSKA;2429
1072,WISZNIEWSKA;2427
1073,MAKAREWICZ;2426
1074,NALEPA;2424
1075,GAŁUSZKA;2420
1076,NADOLNA;2420
1077,MARCZEWSKA;2419
1078,WALAS;2415
1079,CZUBA;2414
1080,RADZIKOWSKA;2414
1081,TABOR;2414
1082,ŁUGOWSKA;2412
1083,MACHNIK;2405
1084,BŁASZKIEWICZ;2404
1085,GALAS;2404
1086,PILARCZYK;2403
1087,SZAFRAN;2403
1088,ĆWIK;2402
1089,PODSIADŁO;2402
1090,STRZAŁKOWSKA;2399
1091,SITKO;2397
1092,WCISŁO;2394
1093,ZIOMEK;2393
1094,DRĄG;2390
1095,KREFT;2390
1096,RYBACKA;2390
1097,WĘGLARZ;2388
1098,DANIEL;2385
1099,MIKUŁA;2385
1100,KŁOSIŃSKA;2384
1101,WYDRA;2384
1102,IWANICKA;2382
1103,SOBOŃ;2379
1104,STOPA;2379
1105,KASPERSKA;2373
1106,WNĘK;2372
1107,BOJANOWSKA;2371
1108,ZAWIŚLAK;2371
1109,SŁOMKA;2368
1110,NEUMANN;2365
1111,PIEŃKOWSKA;2363
1112,KĄKOL;2362
1113,LEWCZUK;2361
1114,SZOSTEK;2358
1115,GUZ;2357
1116,IWANOWSKA;2355
1117,RADWAŃSKA;2355
1118,WOLNY;2354
1119,ŚWIERCZ;2352
1120,FURTAK;2350
1121,GIZA;2350
1122,MARCINKIEWICZ;2349
1123,WACHOWSKA;2349
1124,KLUSKA;2347
1125,NYCZ;2346
1126,DUSZA;2343
1127,KULAS;2342
1128,LUDWICZAK;2339
1129,KALBARCZYK;2338
1130,ROKITA;2338
1131,CHOJECKA;2336
1132,GROBELNA;2334
1133,KOBYLIŃSKA;2334
1134,MACHOWSKA;2332
1135,WILIŃSKA;2332
1136,ŚLIWKA;2331
1137,ANTKOWIAK;2329
1138,OLENDER;2328
1139,PORĘBA;2328
1140,NOSAL;2327
1141,KALITA;2324
1142,BRYŁA;2323
1143,MARKOWICZ;2319
1144,CZAPIEWSKA;2316
1145,JOŃCZYK;2316
1146,FRANKIEWICZ;2315
1147,KORNACKA;2315
1148,PIWOWAR;2315
1149,KOŁACZ;2312
1150,KLONOWSKA;2308
1151,BOROWIAK;2306
1152,KLEIN;2306
1153,TOPOLSKA;2306
1154,RĄCZKA;2305
1155,BUDA;2304
1156,WASZAK;2302
1157,NAPIÓRKOWSKA;2300
1158,GREGORCZYK;2299
1159,MIZERA;2299
1160,MISZCZAK;2298
1161,CHYLIŃSKA;2294
1162,BACZYŃSKA;2289
1163,DOMAGALSKA;2289
1164,PATER;2289
1165,TRUSZKOWSKA;2283
1166,KRASUSKA;2276
1167,ZATORSKA;2266
1168,GĄSKA;2265
1169,KONDRACKA;2263
1170,PIEKARZ;2263
1171,RYDZEWSKA;2261
1172,SUCHOCKA;2260
1173,DUDKIEWICZ;2259
1174,SMYK;2259
1175,PAJOR;2258
1176,SITARZ;2258
1177,KOZIŃSKA;2256
1178,CZUBAK;2255
1179,IWAN;2248
1180,GWIAZDA;2247
1181,KIELAR;2247
1182,JAKUBCZAK;2246
1183,DREWNIAK;2245
1184,OSIECKA;2245
1185,MOSKWA;2242
1186,MASTALERZ;2241
1187,KOMAR;2238
1188,WIERZCHOWSKA;2235
1189,ZALESKA;2235
1190,SZEWCZUK;2234
1191,STAROŃ;2228
1192,DWORAK;2223
1193,OSTASZEWSKA;2223
1194,POPIOŁEK;2223
1195,WIDERA;2221
1196,ZIEMBA;2221
1197,RAKOCZY;2220
1198,ZAŁĘSKA;2220
1199,PISARSKA;2218
1200,SAKOWSKA;2216
1201,TRZASKA;2216
1202,TARKA;2214
1203,CZERWONKA;2212
1204,DĘBICKA;2209
1205,WOJDYŁA;2202
1206,MATUSZCZAK;2201
1207,MIKOŁAJEWSKA;2201
1208,MOTYL;2201
1209,BADURA;2198
1210,WOJNOWSKA;2197
1211,CHOWANIEC;2195
1212,PYKA;2195
1213,MACIASZEK;2194
1214,PLUCIŃSKA;2194
1215,SZLACHTA;2193
1216,KUNICKA;2188
1217,MILER;2187
1218,MALCZEWSKA;2184
1219,SĘKOWSKA;2184
1220,SZAFRANIEC;2184
1221,KARBOWSKA;2183
1222,BLOCH;2178
1223,BABIARZ;2177
1224,BOGDANOWICZ;2177
1225,GĄDEK;2177
1226,CIEŚLIŃSKA;2176
1227,KOTARSKA;2174
1228,IWANIUK;2173
1229,KARASIŃSKA;2168
1230,TROJAN;2167
1231,ŁUCZYŃSKA;2166
1232,WIATR;2165
1233,BORECKA;2163
1234,BOGACKA;2160
1235,BOROWICZ;2160
1236,KRZAK;2160
1237,DUL;2158
1238,BOROWIECKA;2156
1239,SOSIŃSKA;2156
1240,KUSZ;2155
1241,STARZYŃSKA;2154
1242,CZAPLICKA;2153
1243,BĄCZEK;2147
1244,WOJTKOWSKA;2147
1245,KRAWCZYŃSKA;2146
1246,SAGAN;2144
1247,KLOC;2143
1248,JARECKA;2142
1249,TRAWIŃSKA;2141
1250,PRZYGODA;2140
1251,JELEŃ;2139
1252,MAJER;2139
1253,SZMIDT;2138
1254,STRZELEC;2137
1255,GROMEK;2136
1256,DAWIDOWSKA;2134
1257,DYLEWSKA;2132
1258,POZNAŃSKA;2131
1259,SIUDA;2131
1260,CHRUŚCIEL;2130
1261,SYNOWIEC;2130
1262,GANCARZ;2129
1263,CZAPSKA;2128
1264,FRYDRYCH;2128
1265,GRZEGORZEWSKA;2128
1266,CYRAN;2125
1267,MIROWSKA;2121
1268,DAWID;2120
1269,BORUCKA;2119
1270,MATYJA;2119
1271,MROZIŃSKA;2116
1272,GOLONKA;2115
1273,BAŁDYGA;2113
1274,LACHOWSKA;2112
1275,KULIGOWSKA;2111
1276,WĄSOWICZ;2107
1277,MATEJA;2105
1278,BIEGAŃSKA;2104
1279,KUPCZYK;2104
1280,TOBIASZ;2103
1281,ROZMUS;2100
1282,SZCZOTKA;2100
1283,WOJNAROWSKA;2100
1284,PUZIO;2096
1285,KURKOWSKA;2092
1286,OGRODNIK;2092
1287,RUSINEK;2092
1288,NIEDŹWIEDŹ;2090
1289,OGONOWSKA;2090
1290,JEŻ;2089
1291,ŁYSIAK;2088
1292,KOCH;2086
1293,OLEKSIAK;2086
1294,KISIELEWSKA;2085
1295,ŁUKOMSKA;2085
1296,SZNAJDER;2085
1297,WOLAŃSKA;2085
1298,BARCZYK;2084
1299,ZDROJEWSKA;2081
1300,ZDANOWICZ;2080
1301,GAJOS;2078
1302,CHUDY;2077
1303,FABISIAK;2077
1304,KORCZYŃSKA;2077
1305,STACH;2077
1306,MADEJSKA;2076
1307,DEPTUŁA;2071
1308,JAROCKA;2069
1309,MĄKA;2069
1310,KOSIOREK;2068
1311,KĘPIŃSKA;2067
1312,MIELNIK;2067
1313,KLIŚ;2065
1314,KOTOWICZ;2063
1315,DAWIDOWICZ;2061
1316,KARWACKA;2060
1317,KUŁAKOWSKA;2060
1318,RUSZKOWSKA;2059
1319,MAŁOLEPSZA;2057
1320,MROZIK;2055
1321,KOCUR;2051
1322,PACIOREK;2051
1323,SAJDAK;2048
1324,HOFMAN;2047
1325,SUCHODOLSKA;2046
1326,BOCHEŃSKA;2045
1327,PODOLSKA;2045
1328,KRASOŃ;2043
1329,WIERZBOWSKA;2043
1330,KUDŁA;2041
1331,NOCOŃ;2041
1332,KOSSAKOWSKA;2037
1333,SARNA;2035
1334,ŁĄCKA;2032
1335,KWAŚNIAK;2030
1336,GLINKA;2029
1337,BARTOSIAK;2027
1338,BAJOR;2026
1339,MYSZKA;2025
1340,KUTA;2023
1341,ZIAJA;2020
1342,OLESIŃSKA;2019
1343,JEŻEWSKA;2018
1344,ZAJDEL;2018
1345,HAŁAS;2017
1346,TARKOWSKA;2013
1347,BOGUSZEWSKA;2011
1348,MISIEWICZ;2011
1349,POPEK;2007
1350,PIRÓG;2006
1351,KOSIOR;2004
1352,RATAJ;2004
1353,WOŹNICKA;2004
1354,JANKIEWICZ;2003
1355,JELONEK;2003
1356,WYSOKIŃSKA;2002
1357,PANKOWSKA;2000
1358,PIENIĄŻEK;2000
1359,KRASIŃSKA;1999
1360,POŚPIECH;1999
1361,CABAN;1998
1362,SAWCZUK;1998
1363,ZAJKOWSKA;1997
1364,NOWOSIELSKA;1992
1365,SAMBORSKA;1992
1366,BIELICKA;1991
1367,KUNA;1990
1368,RYBCZYŃSKA;1990
1369,WALKIEWICZ;1990
1370,ZWIERZCHOWSKA;1987
1371,SZUMSKA;1985
1372,GŁOWACZ;1981
1373,KUBALA;1981
1374,JÓZEFOWICZ;1980
1375,POKORSKA;1979
1376,WĄS;1978
1377,GÓRZYŃSKA;1975
1378,GUZEK;1975
1379,PAWŁOWICZ;1975
1380,ŻOCHOWSKA;1975
1381,BAŃKOWSKA;1974
1382,CICHY;1973
1383,CYWIŃSKA;1973
1384,KASPROWICZ;1972
1385,PIECHOWIAK;1972
1386,ROGUSKA;1970
1387,TOMASZEK;1968
1388,KUŹMIŃSKA;1967
1389,PISKORSKA;1967
1390,SKRZYŃSKA;1966
1391,STAWSKA;1966
1392,SIWAK;1964
1393,PŁACZEK;1962
1394,JACH;1961
1395,LISEK;1961
1396,WOJEWODA;1961
1397,SOBKOWIAK;1960
1398,BOGUSŁAWSKA;1957
1399,MITURA;1957
1400,RACHWAŁ;1956
1401,JANIKOWSKA;1948
1402,PACH;1948
1403,KAWCZYŃSKA;1947
1404,MYSZKOWSKA;1946
1405,PTASZYŃSKA;1944
1406,ROLA;1944
1407,ĆWIEK;1942
1408,JANIEC;1942
1409,MARCZYK;1941
1410,ŻMIJEWSKA;1938
1411,ŻBIKOWSKA;1936
1412,KUKLIŃSKA;1935
1413,ŁUKAWSKA;1935
1414,SROCZYŃSKA;1935
1415,MATUSZEK;1934
1416,KICIŃSKA;1933
1417,ROZWADOWSKA;1933
1418,MROZOWSKA;1932
1419,PRZYBYŁEK;1928
1420,SKUPIEŃ;1926
1421,SUŁEK;1925
1422,STANKOWSKA;1924
1423,STAWARZ;1924
1424,BĘBEN;1923
1425,LUBIŃSKA;1923
1426,FORMELA;1922
1427,SPYCHALSKA;1921
1428,BADOWSKA;1920
1429,KUPCZAK;1920
1430,OLESZCZUK;1919
1431,DZIĘGIELEWSKA;1917
1432,ANIOŁ;1914
1433,KARPOWICZ;1913
1434,KUŹNIAR;1913
1435,GŁUCHOWSKA;1910
1436,KOC;1910
1437,KUPIS;1910
1438,ŁOBODA;1910
1439,BOCIAN;1909
1440,JODŁOWSKA;1909
1441,KULCZYCKA;1908
1442,ADAMKIEWICZ;1906
1443,MARCZUK;1906
1444,GUZOWSKA;1905
1445,JASKUŁA;1905
1446,SKRZYPIEC;1904
1447,TWOREK;1904
1448,STADNIK;1903
1449,OLEK;1902
1450,RZEŹNIK;1902
1451,WLAZŁO;1901
1452,ZADROŻNA;1900
1453,ZABIELSKA;1899
1454,CHOLEWIŃSKA;1898
1455,KUŚNIERZ;1898
1456,NGUYEN;1897
1457,SŁOTA;1897
1458,MĄDRA;1896
1459,FLORCZYK;1895
1460,ŁUKASIAK;1894
1461,WOJNAR;1894
1462,JAKUBIK;1892
1463,SŁOWIKOWSKA;1892
1464,KUCZERA;1891
1465,SIEMIŃSKA;1891
1466,GONDEK;1890
1467,WINKLER;1890
1468,KROK;1886
1469,BANASZKIEWICZ;1884
1470,KĘDZIA;1884
1471,BRYK;1883
1472,KOBIELA;1883
1473,OZIMEK;1883
1474,GIERSZEWSKA;1881
1475,KNOP;1881
1476,RYNKIEWICZ;1881
1477,STARCZEWSKA;1880
1478,KALISZEWSKA;1878
1479,KUBAS;1878
1480,WIKTOR;1878
1481,HEBDA;1876
1482,NYKIEL;1875
1483,DZIĘCIOŁ;1874
1484,PAWLACZYK;1873
1485,SOBIERAJSKA;1873
1486,MACIEJCZYK;1872
1487,LABUDA;1870
1488,POLOK;1869
1489,SWOBODA;1868
1490,CHOIŃSKA;1867
1491,KOPKA;1863
1492,MAĆKOWSKA;1863
1493,SZMYT;1863
1494,ABRAMCZYK;1862
1495,KULKA;1862
1496,CAŁKA;1860
1497,ABRAMOWICZ;1855
1498,GAWĘDA;1855
1499,MOROZ;1853
1500,NOSEK;1853
1501,GÓRCZYŃSKA;1852
1502,ADAMCZUK;1851
1503,DYBOWSKA;1850
1504,POŁEĆ;1850
1505,KĘDRA;1848
1506,GRABIEC;1847
1507,KILIAN;1847
1508,ŁATA;1847
1509,CISZEK;1844
1510,PIASKOWSKA;1844
1511,SOSNA;1843
1512,ROGULSKA;1838
1513,FILIPOWSKA;1836
1514,SOJA;1836
1515,KOZUB;1835
1516,PRZYBYLAK;1834
1517,DRZAZGA;1832
1518,PŁUCIENNIK;1831
1519,BARCZAK;1830
1520,CISEK;1827
1521,DĘBIŃSKA;1827
1522,FORTUNA;1827
1523,ROWIŃSKA;1826
1524,FORYŚ;1824
1525,MIELEWCZYK;1824
1526,PANKIEWICZ;1824
1527,SZEWC;1819
1528,WOJTYSIAK;1819
1529,DURAJ;1818
1530,KURIATA;1818
1531,PŁÓCIENNIK;1818
1532,WALICKA;1818
1533,PACEK;1817
1534,MOKRZYCKA;1816
1535,WICHER;1816
1536,FRĄCKIEWICZ;1815
1537,MOSZCZYŃSKA;1815
1538,DOMINIK;1814
1539,PIWOŃSKA;1812
1540,JANUSZKIEWICZ;1811
1541,ŁUKOWSKA;1811
1542,BUDNIK;1810
1543,GIERCZAK;1810
1544,LASKA;1809
1545,GUTKOWSKA;1806
1546,ZIENKIEWICZ;1806
1547,GAWŁOWSKA;1805
1548,LISZEWSKA;1805
1549,PIECUCH;1805
1550,CABAJ;1802
1551,JASIAK;1800
1552,KLIMOWICZ;1798
1553,NIZIOŁEK;1797
1554,DEPTA;1796
1555,DOPIERAŁA;1796
1556,JANECKA;1796
1557,BIEDRZYCKA;1795
1558,CZARNOWSKA;1795
1559,DZIK;1794
1560,WALASEK;1794
1561,SKRZYPCZYK;1793
1562,SZPAKOWSKA;1793
1563,PAWEŁEK;1792
1564,MIODUSZEWSKA;1791
1565,POLKOWSKA;1791
1566,BALIŃSKA;1790
1567,KOZIKOWSKA;1790
1568,PŁACHTA;1789
1569,IGNACZAK;1788
1570,ANDRZEJAK;1787
1571,KLIMKIEWICZ;1787
1572,PIECHA;1787
1573,PIEKARCZYK;1787
1574,KOŁEK;1785
1575,KRYGIER;1785
1576,BARTOSZEWICZ;1783
1577,GIBAS;1781
1578,SKUZA;1781
1579,SEMENIUK;1778
1580,BINKOWSKA;1777
1581,SOBIECH;1777
1582,FORNAL;1776
1583,CELIŃSKA;1775
1584,JAROSIŃSKA;1775
1585,KRZEMIEŃ;1775
1586,KRZYSZTOFIK;1774
1587,ŻACZEK;1768
1588,KLICH;1767
1589,KORALEWSKA;1766
1590,KASIŃSKA;1765
1591,BARSZCZEWSKA;1763
1592,MAŁACHOWSKA;1763
1593,SIWIŃSKA;1762
1594,JANOWICZ;1760
1595,KAZIMIERSKA;1760
1596,KWAŚNIK;1760
1597,POŹNIAK;1760
1598,WOLANIN;1760
1599,PRZYBYŁO;1759
1600,CHLEBOWSKA;1758
1601,PNIEWSKA;1758
1602,PLATA;1757
1603,OPALIŃSKA;1756
1604,KRZYŻANIAK;1753
1605,STAWIARSKA;1753
1606,SOBALA;1752
1607,KOSEK;1751
1608,DANILUK;1749
1609,LUPA;1749
1610,MELLER;1749
1611,FILA;1748
1612,KOWNACKA;1747
1613,PATYK;1746
1614,SZCZĘCH;1746
1615,WIATROWSKA;1746
1616,PAWLUS;1745
1617,BIENIAS;1743
1618,ŚWITALSKA;1743
1619,SZEWCZAK;1742
1620,KOŻUCH;1740
1621,ZAWADKA;1740
1622,ŁADA;1739
1623,SKOTNICKA;1739
1624,SOŁTYSIK;1739
1625,ZDANOWSKA;1739
1626,WANAT;1737
1627,GONTARZ;1736
1628,ROMAŃCZUK;1736
1629,KLIMCZYK;1735
1630,POKORA;1734
1631,KWAPISZ;1733
1632,MÜLLER;1733
1633,ŚWIĘCICKA;1732
1634,BIŃKOWSKA;1730
1635,KALICKA;1728
1636,PIKUŁA;1726
1637,BASIŃSKA;1723
1638,CHRZĄSZCZ;1723
1639,PIETRUCHA;1723
1640,POPIEL;1722
1641,MOŚCICKA;1721
1642,OBARA;1721
1643,PUSTELNIK;1721
1644,LEJA;1720
1645,ŻABIŃSKA;1720
1646,DEMBIŃSKA;1719
1647,ĆWIKŁA;1718
1648,BORAWSKA;1716
1649,BROŻYNA;1714
1650,LENARTOWICZ;1714
1651,STEFANOWSKA;1714
1652,BAJER;1713
1653,IDZIKOWSKA;1713
1654,JASEK;1713
1655,TERLECKA;1713
1656,URBANIK;1712
1657,WILKOWSKA;1712
1658,HINC;1711
1659,JUREWICZ;1711
1660,FICEK;1710
1661,GAWRYŚ;1710
1662,SIEŃKO;1709
1663,SOLARZ;1708
1664,CHMIELECKA;1707
1665,MICKIEWICZ;1707
1666,PIECHOWSKA;1706
1667,ŁUKASZCZYK;1705
1668,PAWEŁCZYK;1705
1669,GOŁDA;1704
1670,TABAKA;1704
1671,BĄCZKOWSKA;1703
1672,PIWKO;1702
1673,WACHOWICZ;1701
1674,CZERNIAWSKA;1699
1675,KOŚMIDER;1698
1676,KUŁAGA;1698
1677,MARCINEK;1698
1678,SAMSEL;1698
1679,GŁUSZEK;1697
1680,ZELEK;1697
1681,WALASZCZYK;1696
1682,KUFEL;1695
1683,CIEŚLAR;1694
1684,MIAZGA;1689
1685,MIŁEK;1689
1686,BARTOSZ;1688
1687,OCHMAN;1688
1688,SYPNIEWSKA;1688
1689,CHUDZIŃSKA;1687
1690,DRAB;1687
1691,JAWOROWSKA;1687
1692,SZYDŁO;1684
1693,KUKUŁA;1683
1694,RUTA;1683
1695,WSZOŁEK;1680
1696,ROSTKOWSKA;1679
1697,KACPERSKA;1678
1698,MATYSEK;1678
1699,KARWAT;1676
1700,CICHOWSKA;1674
1701,POLAKOWSKA;1674
1702,KUR;1673
1703,MACIAK;1672
1704,MOMOT;1672
1705,GRABIŃSKA;1671
1706,ORLIŃSKA;1670
1707,PALKA;1669
1708,ZDUŃCZYK;1669
1709,GRUSZECKA;1668
1710,PLISZKA;1668
1711,BONIECKA;1667
1712,SAŁATA;1667
1713,KOPIEC;1666
1714,LIGĘZA;1666
1715,SZMIT;1665
1716,BŁASIAK;1664
1717,KIERZKOWSKA;1663
1718,PONIATOWSKA;1663
1719,GWIZDAŁA;1661
1720,KASPRZYCKA;1661
1721,KLEPACKA;1661
1722,KLESZCZ;1661
1723,SZYMBORSKA;1661
1724,WARDA;1661
1725,PIELA;1660
1726,ŁAKOMA;1659
1727,SAS;1658
1728,SARNECKA;1657
1729,BĘBENEK;1656
1730,STEFANOWICZ;1656
1731,MICHALEC;1655
1732,SZCZĘŚNIAK;1655
1733,DOMARADZKA;1654
1734,MRUK;1653
1735,NARLOCH;1651
1736,SCHULZ;1651
1737,WAWER;1651
1738,CHĘCIŃSKA;1650
1739,TARASIUK;1650
1740,KOSAKOWSKA;1647
1741,ZIOBRO;1645
1742,JURASZEK;1644
1743,RYSZKA;1644
1744,KACPRZYK;1643
1745,KORYCKA;1643
1746,SASIN;1643
1747,PRUSAK;1640
1748,CHUDA;1637
1749,JÓZEFIAK;1637
1750,JABŁONOWSKA;1636
1751,GÓRNIK;1635
1752,ŁASKA;1634
1753,MIERNIK;1634
1754,OLEJARZ;1634
1755,ROJEWSKA;1634
1756,SAŁEK;1631
1757,BORZĘCKA;1630
1758,JURGA;1629
1759,JASIK;1628
1760,KRYŃSKA;1628
1761,KUŹNIK;1628
1762,PARZYCH;1628
1763,CICHECKA;1627
1764,LECHOWICZ;1627
1765,ŚWINIARSKA;1625
1766,ISKRA;1624
1767,KOWALKOWSKA;1624
1768,ORLIK;1624
1769,KARBOWIAK;1623
1770,NIEDBAŁA;1623
1771,OKOŃSKA;1623
1772,STASIK;1623
1773,MYŚLIŃSKA;1621
1774,GAWIN;1620
1775,GŁODEK;1620
1776,POLOCZEK;1620
1777,SZYMURA;1620
1778,BAŃKA;1618
1779,KAIM;1617
1780,KOTECKA;1615
1781,ŁOZIŃSKA;1613
1782,BABIŃSKA;1612
1783,MAJCHROWSKA;1611
1784,TYSZKIEWICZ;1611
1785,WOŹNY;1609
1786,LEWKOWICZ;1608
1787,KUSTRA;1607
1788,BIL;1604
1789,BOCZKOWSKA;1604
1790,KOCOT;1604
1791,KOPERSKA;1604
1792,SAK;1604
1793,KONKOL;1603
1794,JAGIEŁA;1602
1795,SPYRA;1602
1796,CIESZYŃSKA;1600
1797,CZERNIK;1600
1798,POGODA;1595
1799,RODZIEWICZ;1595
1800,SADKOWSKA;1594
1801,ŻYDEK;1593
1802,JARZĄB;1591
1803,MOCZULSKA;1590
1804,PORADA;1590
1805,CZOP;1589
1806,KŁAK;1588
1807,ANDRUSZKIEWICZ;1587
1808,CZERNECKA;1587
1809,KUŚMIERCZYK;1587
1810,PIETKIEWICZ;1587
1811,PIETRUSZEWSKA;1587
1812,IGNASIAK;1586
1813,STEFAŃCZYK;1586
1814,BARTOSZEWSKA;1584
1815,SÓJKA;1584
1816,GRALAK;1583
1817,KACZMARZYK;1583
1818,SUSZEK;1582
1819,MANIA;1581
1820,PIETRASIK;1581
1821,ŁĘCKA;1580
1822,WRONKA;1580
1823,ANTOSIK;1579
1824,PEPLIŃSKA;1579
1825,TAŃSKA;1579
1826,MUSIELAK;1578
1827,STRZYŻEWSKA;1578
1828,WOJTAŚ;1578
1829,BARNAŚ;1577
1830,JAGŁA;1576
1831,JASZCZUK;1576
1832,PALIWODA;1576
1833,ZARZECKA;1576
1834,GRAD;1573
1835,KLOCEK;1573
1836,WEGNER;1573
1837,MATKOWSKA;1572
1838,ULATOWSKA;1572
1839,SKOCZEŃ;1571
1840,BUDNA;1569
1841,WILCZAK;1569
1842,KĄDZIELA;1568
1843,GŁUCH;1567
1844,PRZYBOROWSKA;1567
1845,WŁODARCZAK;1567
1846,DRAGAN;1564
1847,MLECZKO;1563
1848,PAWLUK;1563
1849,SOBIECKA;1563
1850,TOCZEK;1561
1851,NAPORA;1560
1852,BYKOWSKA;1559
1853,CZARNIK;1559
1854,KISZKA;1559
1855,BALCER;1558
1856,KOSECKA;1558
1857,WIKTOROWICZ;1558
1858,GRALA;1557
1859,RZEPA;1557
1860,TARGOSZ;1557
1861,PRZYTUŁA;1556
1862,TYSZKA;1556
1863,PAWELCZYK;1555
1864,SZYSZKO;1554
1865,LANGNER;1552
1866,SADŁOWSKA;1552
1867,PASIEKA;1551
1868,RICHTER;1551
1869,SUDER;1550
1870,SUKIENNIK;1546
1871,GIEMZA;1544
1872,BOMBA;1543
1873,PIETRASZEK;1543
1874,WINIARCZYK;1542
1875,BRYL;1541
1876,TĘCZA;1541
1877,ZĄBEK;1541
1878,ŻÓŁTOWSKA;1540
1879,BOCZEK;1539
1880,KĄDZIOŁKA;1539
1881,MICHNA;1536
1882,BIAŁY;1535
1883,KUBIŃSKA;1535
1884,KANTOR;1534
1885,CHMIELOWIEC;1533
1886,DEJA;1532
1887,BRZOSTEK;1531
1888,BRZÓSKA;1531
1889,KONIK;1531
1890,NIKIEL;1531
1891,PASZKO;1530
1892,FILIPKOWSKA;1528
1893,STAŚKIEWICZ;1528
1894,FIRLEJ;1525
1895,ŚWIDEREK;1525
1896,CISOWSKA;1522
1897,GOŹDZIK;1522
1898,KALEMBA;1522
1899,FEDOROWICZ;1521
1900,KRYSZTOFIAK;1521
1901,LIPOWSKA;1520
1902,PYTLIK;1520
1903,SABAT;1520
1904,WALA;1520
1905,ŻYWICKA;1520
1906,DZIUBEK;1519
1907,STARZYK;1519
1908,KARBOWNIK;1518
1909,MALCZYK;1518
1910,WASILUK;1518
1911,MNICH;1517
1912,BATKO;1515
1913,DMOCHOWSKA;1515
1914,MRÓWKA;1515
1915,ORLIKOWSKA;1515
1916,WOJTALA;1515
1917,KRZYWICKA;1514
1918,SKWARA;1514
1919,ŚWISTAK;1514
1920,ŻELAZNA;1514
1921,GĘBALA;1513
1922,JANCZEWSKA;1513
1923,CHYŁA;1512
1924,JEDLIŃSKA;1512
1925,KRYNICKA;1512
1926,SOBOL;1508
1927,BOROWIK;1507
1928,BUTKIEWICZ;1507
1929,NOWOSAD;1507
1930,PIEKUT;1507
1931,WĄTROBA;1507
1932,RAPACZ;1506
1933,DYRDA;1505
1934,MACHAJ;1505
1935,BAŁA;1504
1936,OSIAK;1503
1937,FISZER;1502
1938,JARZYNA;1501
1939,KOCIK;1500
1940,KUŚMIERZ;1499
1941,MĄCZYŃSKA;1499
1942,ZWIERZYŃSKA;1498
1943,STAROSTA;1497
1944,GRĄDZKA;1495
1945,WIERZBA;1495
1946,DOMIN;1493
1947,PACHOLSKA;1493
1948,TARNAWSKA;1493
1949,MARTYNIUK;1492
1950,MELNYK;1492
1951,GALANT;1491
1952,GOŁAWSKA;1491
1953,SŁOMSKA;1491
1954,BĘDKOWSKA;1490
1955,CHROSTOWSKA;1489
1956,GINTER;1489
1957,CZECHOWICZ;1487
1958,JAŃCZAK;1487
1959,MACHURA;1487
1960,DEREŃ;1485
1961,KRUPSKA;1485
1962,KRZYŻAK;1484
1963,TALAGA;1484
1964,GRZESZCZAK;1483
1965,RAWSKA;1482
1966,KOCIOŁEK;1481
1967,SUWAŁA;1481
1968,CIOSEK;1480
1969,PŁAZA;1480
1970,REGULSKA;1480
1971,SIWIK;1480
1972,GRONOWSKA;1479
1973,GODEK;1478
1974,GÓŹDŹ;1477
1975,KASZA;1477
1976,WOLF;1476
1977,JOPEK;1475
1978,PUDŁO;1475
1979,SZERSZEŃ;1475
1980,SZMIGIEL;1475
1981,GÓRNICKA;1473
1982,CHRZAN;1471
1983,MALIŃSKA;1471
1984,KOTWICA;1469
1985,KACZKOWSKA;1468
1986,PAKULSKA;1468
1987,WASIK;1468
1988,CZARKOWSKA;1467
1989,ŁAGOWSKA;1467
1990,WIĘCŁAW;1466
1991,WENTA;1465
1992,CHMIELOWSKA;1463
1993,KMIECIAK;1463
1994,KORCZ;1462
1995,KUŁAK;1462
1996,NOWIK;1462
1997,PRZYWARA;1461
1998,SOBECKA;1461
1999,DMOWSKA;1460
2000,KRZYWDA;1460
2001,OLKOWSKA;1460
2002,SZABLEWSKA;1460
2003,BLICHARZ;1459
2004,ROKOSZ;1459
2005,BAJOREK;1458
2006,CHODOROWSKA;1458
2007,GRZEGOREK;1457
2008,BIAŁOWĄS;1456
2009,MATUSZCZYK;1456
2010,WASZCZUK;1456
2011,JAŻDŻEWSKA;1455
2012,PABIAN;1454
2013,ZYŚK;1454
2014,BOLEK;1453
2015,GOŁDYN;1453
2016,STRUZIK;1453
2017,KOTAS;1451
